scenario,timing_preset,trial,seed,total_users,cw_min,lower_cw_min,higher_cw_min,class_name,class_users,successful_packets,collision_attempts,average_delay_slots,throughput_bits_per_slot,jain_fairness_index,per_station_throughput_variance,zero_success_station_fraction,max_station_throughput_share
sweep-users,baseline,6,13,20,16,,,standard,20,2960,2396,128.0695945945946,1776.0,0.9148279476930918,734.1479999999999,0.0,0.07736486486486485
sweep-users,baseline,7,14,20,16,,,standard,20,2928,2492,130.13319672131146,1756.8,0.9191633894990542,678.5784000000001,0.0,0.07377049180327869
sweep-users,baseline,8,15,20,16,,,standard,20,2855,2380,131.28091068301225,1713.0,0.9240665833788699,602.8155,0.0,0.07320490367775831
sweep-users,baseline,9,16,20,16,,,standard,20,2884,2471,131.2385575589459,1730.4,0.942035328069007,460.60559999999987,0.0,0.07524271844660194
sweep-users,baseline,0,7,30,16,,,standard,30,2691,2874,208.36937941285768,1614.6,0.8662607796905786,447.19560000000007,0.0,0.06837606837606837
sweep-users,baseline,1,8,30,16,,,standard,30,2749,2847,199.19934521644234,1649.4,0.8735760896580029,437.4596,0.0,0.05965805747544561
sweep-users,baseline,2,9,30,16,,,standard,30,2751,2901,206.34387495456198,1650.6,0.8693066338609131,455.1156000000001,0.0,0.06106870229007635
sweep-users,baseline,3,10,30,16,,,standard,30,2760,2913,199.06884057971016,1656.0,0.8853309531114892,394.656,0.0,0.057608695652173914
sweep-users,baseline,4,11,30,16,,,standard,30,2751,2958,194.9269356597601,1650.6,0.8470811633037505,546.4836,0.0,0.05816066884769174
sweep-users,baseline,5,12,30,16,,,standard,30,2733,2905,205.88181485547017,1639.8,0.9030860189702389,320.6244,0.0,0.06256860592755215
sweep-users,baseline,6,13,30,16,,,standard,30,2688,2863,205.73474702380952,1612.8,0.8448204739655683,530.8704,0.0,0.06175595238095238
sweep-users,baseline,7,14,30,16,,,standard,30,2737,2882,205.12897332846183,1642.2,0.8514385247066175,522.8324,0.0,0.06138107416879796
sweep-users,baseline,8,15,30,16,,,standard,30,2771,2914,199.69686033922773,1662.6,0.9317467367074752,224.98760000000001,0.0,0.0512450378924576
sweep-users,baseline,9,16,30,16,,,standard,30,2703,2881,208.5338512763596,1621.8,0.897430861354215,334.01640000000003,0.0,0.05956344802071771
sweep-users,baseline,0,7,40,16,,,standard,40,2532,3311,280.2618483412322,1519.2,0.8113002014639039,335.50559999999984,0.0,0.05213270142180094
sweep-users,baseline,1,8,40,16,,,standard,40,2618,3250,285.80939648586707,1570.8,0.9004009416611494,170.58509999999998,0.0,0.050420168067226885
sweep-users,baseline,2,9,40,16,,,standard,40,2641,3114,263.0121166224915,1584.6,0.8433588138847647,291.482775,0.0,0.04960242332449829
sweep-users,baseline,3,10,40,16,,,standard,40,2612,3249,274.5156967840735,1567.2,0.8162656252991062,345.5316,0.0,0.0509188361408882
sweep-users,baseline,4,11,40,16,,,standard,40,2630,3241,264.90722433460076,1578.0,0.834656672040468,308.29949999999997,0.0,0.049049429657794665
sweep-users,baseline,5,12,40,16,,,standard,40,2550,3275,273.09764705882355,1530.0,0.8616965449977205,234.82350000000002,0.0,0.048627450980392166
sweep-users,baseline,6,13,40,16,,,standard,40,2581,3176,263.1263076327005,1548.6,0.8523546858286373,259.63177500000006,0.0,0.05075552111584657
sweep-users,baseline,7,14,40,16,,,standard,40,2637,3264,276.22411831626846,1582.2,0.8503559776361425,275.334975,0.0,0.04740235115661736
sweep-users,baseline,8,15,40,16,,,standard,40,2585,3203,276.18955512572535,1551.0,0.8438388703395953,278.2383749999999,0.0,0.05029013539651837
sweep-users,baseline,9,16,40,16,,,standard,40,2533,3309,286.8685353335965,1519.8,0.8842898765649889,188.89897500000006,0.0,0.04303197789182788
sweep-users,baseline,0,7,50,16,,,standard,50,2489,3509,361.0783447167537,1493.4,0.8377728794076879,172.74657599999995,0.0,0.04499799116110888
sweep-users,baseline,1,8,50,16,,,standard,50,2531,3435,339.53694192018963,1518.6,0.7663778675041131,281.2016160000001,0.0,0.050572896088502545
sweep-users,baseline,2,9,50,16,,,standard,50,2524,3507,351.7824881141046,1514.4,0.7898844417993347,244.02585599999992,0.0,0.05427892234548339
sweep-users,baseline,3,10,50,16,,,standard,50,2512,3508,354.4800955414013,1507.2,0.7654040416292666,278.5040639999999,0.0,0.049363057324840774
sweep-users,baseline,4,11,50,16,,,standard,50,2539,3530,344.92122883024814,1523.4,0.8104702635764174,217.08417599999996,0.0,0.040173296573454115
sweep-users,baseline,5,12,50,16,,,standard,50,2533,3488,343.4101855507304,1519.8,0.8369812477578843,179.95118399999998,0.0,0.03632056849585471
sweep-users,baseline,6,13,50,16,,,standard,50,2513,3514,339.72821329088737,1507.8,0.7894207943998252,242.57966399999998,0.0,0.04894548348587345
sweep-users,baseline,7,14,50,16,,,standard,50,2454,3502,356.7722086389568,1472.4,0.856509173659508,145.27929599999996,0.0,0.04278728606356968
sweep-users,baseline,8,15,50,16,,,standard,50,2442,3497,357.7731367731368,1465.2,0.8136668031109281,196.65158399999996,0.0,0.04258804258804261
sweep-users,baseline,9,16,50,16,,,standard,50,2499,3462,349.8011204481793,1499.4,0.7989459544172303,226.30305600000003,0.0,0.04441776710684273
